ID Cliente;Escolaridade;Tem Filhos;Salário;Idade;Estado;Estado Civil;Profissão;Hobbies (Código);Número de Cartões de Crédito
70;Fundamental;Não;3772.9;67.49;SP;Divorciado;Advogado;XQAMD;1
71;Superior;Sim;4107.5;61.6;PB;Solteiro;Engenheiro;UIE;2
72;Pós-Graduação;Não;1119.28;33.48;GO;Solteiro;Professor;HO;1
73;Médio;Sim;2185.04;60.53;AP;Casado;Professor;NUD;0
74;Pós-Graduação;Não;7762.26;66.53;BA;Divorciado;Engenheiro;F;1
75;Médio;Sim;6906.74;51.31;BA;Casado;Advogado;SFHDE;0
76;Médio;Sim;8708.23;61.28;PE;Solteiro;Professor;BWAXW;3
77;Pós-Graduação;Sim;4225.26;70.43;GO;Solteiro;Estudante;YTVIO;0
78;Pós-Graduação;Sim;9681.37;58.43;PI;Divorciado;Professor;NUQIW;0
79;Pós-Graduação;Não;8640.37;23.95;PR;Solteiro;Estudante;UT;2
80;Fundamental;Não;8398.15;49.66;SE;Viúvo;Empresário;LUU;2
81;Fundamental;Não;3918.64;58.45;AM;Solteiro;Engenheiro;CR;1
82;Médio;Sim;1769.63;62.71;GO;Divorciado;Estudante;ZZA;3
83;Pós-Graduação;Sim;2823.91;41.02;AL;Viúvo;Empresário;R;1
84;Médio;Sim;4702.16;55.28;AM;Divorciado;Engenheiro;NQLN;2
85;Fundamental;Sim;7260.68;43.67;AP;Viúvo;Estudante;WV;0
86;Superior;Não;7007.5;46.5;GO;Viúvo;Advogado;DVS;0
87;Superior;Não;9954.18;29.96;MT;Viúvo;Professor;RWVO;3
88;Superior;Sim;1487.63;27.37;DF;Solteiro;Médico;K;3
89;Pós-Graduação;Não;4121.94;74.8;SP;Solteiro;Outros;UBADS;3
90;Pós-Graduação;Não;2886.86;46.61;SC;Casado;Advogado;YRA;0
91;Fundamental;Não;8720.75;76.55;DF;Solteiro;Artista;CJ;0
92;Fundamental;Sim;4148.12;56.92;MT;Viúvo;Engenheiro;GLVUU;1
93;Fundamental;Sim;2531.16;47.72;CE;Viúvo;Engenheiro;K;2
94;Superior;Não;2997.63;23.62;MA;Divorciado;Advogado;M;2
95;Fundamental;Sim;1075.03;72.87;DF;Divorciado;Engenheiro;QEVUW;3
96;Fundamental;Não;5743.56;44.69;TO;Casado;Estudante;EENA;2
97;Pós-Graduação;Não;4721.76;54.81;SC;Divorciado;Médico;L;3
98;Fundamental;Sim;4243.71;29.28;BA;Viúvo;Empresário;BZOIR;2
99;Pós-Graduação;Sim;8696.62;77.14;PR;Solteiro;Médico;ZIBD;0
100;Fundamental;Sim;7695.48;21.37;SC;Viúvo;Empresário;QFX;0
101;Pós-Graduação;Não;8461.41;41.99;ES;Viúvo;Empresário;UTX;3
102;Fundamental;Sim;1109.67;60.55;CE;Casado;Advogado;KCU;1
103;Superior;Sim;7252.29;20.89;PE;Viúvo;Médico;U;0
104;Superior;Não;2049.68;75.68;PI;Solteiro;Empresário;IR;0
105;Pós-Graduação;Não;3524.1;61.71;GO;Solteiro;Artista;SXLXR;1
106;Fundamental;Não;1646.82;78.43;PR;Viúvo;Médico;ZBDRK;3
107;Superior;Sim;6061.22;42.04;ES;Casado;Empresário;XE;2
108;Pós-Graduação;Sim;2579.3;70.09;AC;Viúvo;Estudante;H;3
109;Superior;Não;6986.56;73.07;RN;Viúvo;Engenheiro;LU;3
110;Fundamental;Não;8715.33;66.53;ES;Solteiro;Empresário;IWJ;3
111;Médio;Sim;2648.73;32.7;AM;Solteiro;Empresário;UBZAE;1
112;Pós-Graduação;Não;5158.1;40.14;PB;Solteiro;Empresário;BCCKA;2
113;Fundamental;Sim;5314.62;65.68;MS;Divorciado;Artista;LN;3
114;Médio;Não;5469.51;55.83;MT;Casado;Estudante;OPYO;1
115;Superior;Não;9865.27;54.1;CE;Casado;Estudante;BRGMM;3
116;Médio;Sim;8257.67;49.68;DF;Divorciado;Professor;YDTC;3
117;Fundamental;Sim;5766.51;64.67;GO;Casado;Advogado;D;3
118;Fundamental;Sim;1688.76;22.05;AC;Casado;Estudante;BXOC;3
119;Pós-Graduação;Sim;8216.43;68.25;AC;Viúvo;Artista;QSCAH;1
120;Superior;Não;5134.09;65.41;GO;Solteiro;Artista;CB;1
121;Médio;Não;5580.46;37.24;AC;Divorciado;Professor;X;0
122;Superior;Sim;6632.02;25.44;RR;Solteiro;Médico;QTUBJ;3
123;Pós-Graduação;Sim;3386.48;26.17;AC;Solteiro;Artista;UYTV;3
124;Superior;Não;2457.49;50.94;AC;Casado;Empresário;L;0
125;Médio;Não;2800.89;63.13;SP;Viúvo;Advogado;P;3
126;Superior;Não;8695.04;66.84;PE;Solteiro;Estudante;VG;3
127;Fundamental;Não;7998.37;33.2;BA;Divorciado;Médico;WENP;1
128;Médio;Sim;7114.67;75.53;BA;Divorciado;Estudante;YDKT;0
129;Pós-Graduação;Sim;2687.38;54.42;MT;Casado;Professor;UXEGZ;1
130;Pós-Graduação;Não;7421.44;77.07;AL;Viúvo;Estudante;OFV;1
131;Fundamental;Sim;6088.32;40.98;SE;Divorciado;Empresário;DS;3
132;Médio;Sim;4875.95;60.42;DF;Casado;Artista;HM;1
133;Pós-Graduação;Não;5865.49;56.29;MG;Divorciado;Outros;TLW;1
134;Fundamental;Sim;4433.06;50.15;DF;Casado;Estudante;FTE;3
135;Superior;Sim;4815.51;50.54;RO;Casado;Estudante;HWA;3
136;Pós-Graduação;Não;9891.31;41.35;TO;Solteiro;Advogado;UMWUP;0
137;Pós-Graduação;Não;4762.32;51.98;AL;Solteiro;Advogado;OGD;0
138;Superior;Não;1517.07;35.45;ES;Solteiro;Outros;Q;3
139;Pós-Graduação;Não;2435.55;71.79;MT;Viúvo;Artista;VOI;2
140;Fundamental;Não;7709.7;51.89;MG;Viúvo;Outros;TYABO;0
141;Médio;Não;6533.69;28.23;RO;Viúvo;Médico;JDE;1
142;Superior;Sim;5612.57;77.67;RN;Casado;Estudante;DDESK;2
143;Médio;Não;7737.24;70.31;AL;Solteiro;Estudante;L;3
144;Superior;Sim;9362.34;62.32;RS;Divorciado;Artista;SUS;0
145;Fundamental;Não;7302.82;53.44;MS;Viúvo;Professor;TL;2
146;Superior;Não;4216.46;35.74;MS;Casado;Médico;OY;2
147;Médio;Não;3768.48;29.54;RR;Viúvo;Professor;SSBUW;2
148;Superior;Sim;1164.85;45.09;DF;Casado;Engenheiro;ZQQ;2
149;Fundamental;Sim;1578.15;66.85;SP;Viúvo;Artista;YYB;1
150;Superior;Sim;8428.4;53.86;AC;Divorciado;Empresário;Y;1
151;Médio;Sim;4408.34;20.61;PI;Solteiro;Advogado;YPEN;0
152;Médio;Sim;7493.27;43.69;RO;Casado;Empresário;PV;0
153;Superior;Não;3096.99;58.27;MT;Viúvo;Professor;RIKGH;0
154;Superior;Não;6798.13;63.61;AC;Divorciado;Outros;WIXOD;2
155;Pós-Graduação;Sim;4157.41;67.04;PR;Casado;Estudante;LOGS;1
156;Fundamental;Não;3518.65;72.71;PA;Divorciado;Estudante;TNVZH;2
157;Fundamental;Sim;3823.38;65.33;BA;Casado;Estudante;Q;1
158;Médio;Não;4526.98;60.64;RJ;Divorciado;Professor;HYAUX;0
159;Médio;Não;9783.31;56.94;DF;Divorciado;Advogado;A;1
160;Fundamental;Não;1597.3;32.58;CE;Viúvo;Professor;W;0
161;Médio;Não;8934.39;77.4;RN;Divorciado;Advogado;SNUGM;2
162;Superior;Não;4328.24;60.59;CE;Divorciado;Médico;MZKJ;3
163;Médio;Sim;6217.92;73.27;SP;Viúvo;Outros;PSUBW;3
164;Fundamental;Não;5915.83;74.32;AL;Casado;Advogado;IQQ;0
165;Superior;Sim;6259.99;61.76;TO;Divorciado;Empresário;FHASL;2
166;Fundamental;Sim;5039.18;40.31;BA;Casado;Estudante;MZTI;1
167;Superior;Sim;9987.81;58.61;PB;Solteiro;Artista;G;1
168;Médio;Sim;6850.56;69.36;TO;Solteiro;Engenheiro;KLV;2
169;Médio;Sim;3493.79;49.44;PR;Solteiro;Professor;WX;1
170;Pós-Graduação;Sim;9934.44;62.66;MG;Solteiro;Médico;X;3
171;Pós-Graduação;Sim;7288.12;33.93;RJ;Divorciado;Advogado;NV;3
172;Pós-Graduação;Não;7741.84;32.74;CE;Viúvo;Engenheiro;V;3
173;Fundamental;Sim;9109.09;23.06;SE;Viúvo;Empresário;PAS;3
174;Superior;Não;7284.77;28.17;DF;Casado;Engenheiro;MRVH;3
175;Pós-Graduação;Sim;7536.73;39.61;PR;Viúvo;Engenheiro;NKG;3
176;Superior;Sim;3786.98;25.15;PB;Solteiro;Outros;FMN;0
177;Pós-Graduação;Não;4261.35;38.47;BA;Viúvo;Empresário;SHDBZ;2
178;Médio;Não;4698.66;51.65;PB;Solteiro;Artista;LNKT;1
179;Médio;Sim;5715.74;51.6;RR;Casado;Artista;LILBN;3
180;Fundamental;Sim;3180.01;22.85;MG;Solteiro;Artista;NU;0
181;Pós-Graduação;Não;3199.0;18.02;MG;Casado;Outros;H;1
182;Superior;Não;9657.69;26.97;MG;Casado;Advogado;RMUZS;1
183;Fundamental;Sim;6046.07;60.47;SE;Divorciado;Outros;C;3
184;Fundamental;Não;1437.36;41.23;RS;Casado;Outros;ALF;2
185;Superior;Não;6221.6;47.46;CE;Viúvo;Estudante;V;0
186;Pós-Graduação;Sim;3260.52;52.5;GO;Solteiro;Empresário;DUDO;1
187;Superior;Sim;2556.45;68.79;AP;Divorciado;Médico;OS;0
188;Pós-Graduação;Sim;8337.29;41.18;SE;Solteiro;Médico;BITZL;3
189;Superior;Sim;7788.72;29.25;SP;Divorciado;Engenheiro;Y;1
190;Superior;Não;7725.07;48.47;MA;Divorciado;Médico;LP;1
191;Médio;Sim;7646.38;68.73;PA;Solteiro;Outros;G;3
192;Pós-Graduação;Não;4903.96;55.86;AM;Solteiro;Empresário;KJGHD;0
193;Superior;Não;1871.64;26.93;MG;Solteiro;Outros;UYNCT;1
194;Médio;Não;1694.14;55.29;RO;Divorciado;Empresário;YJRGY;1
195;Médio;Não;2841.95;63.07;PE;Viúvo;Outros;BTHZF;1
196;Pós-Graduação;Não;9042.75;76.34;PB;Casado;Professor;BIFSL;1
197;Fundamental;Não;8801.09;55.83;AL;Divorciado;Advogado;HQLVB;1
198;Pós-Graduação;Sim;9313.13;35.62;AC;Casado;Estudante;BWNY;2
199;Pós-Graduação;Não;1881.04;78.24;RJ;Divorciado;Advogado;DR;0
200;Superior;Não;3162.67;59.08;PA;Viúvo;Médico;QY;3
201;Médio;Não;1364.48;29.19;RO;Viúvo;Empresário;YLNBY;2
202;Pós-Graduação;Sim;6713.52;38.47;PB;Solteiro;Outros;RTEX;1
203;Superior;Sim;6426.24;33.31;RS;Casado;Estudante;TS;0
204;Fundamental;Sim;7851.18;21.39;RS;Casado;Médico;XPR;1
205;Superior;Sim;3410.23;74.03;MT;Viúvo;Advogado;H;1
206;Fundamental;Sim;5587.7;26.49;PR;Divorciado;Estudante;VOOIP;1
207;Superior;Não;3062.93;47.41;AL;Casado;Engenheiro;SLPHE;0
208;Superior;Sim;4046.69;18.22;PB;Divorciado;Advogado;AQ;2
209;Fundamental;Sim;8783.35;19.16;RR;Casado;Professor;I;2
210;Pós-Graduação;Não;3053.9;59.46;RO;Solteiro;Artista;KTFC;1
211;Fundamental;Não;3313.87;46.81;SE;Divorciado;Advogado;EXDJO;0
212;Pós-Graduação;Não;7102.45;19.49;MG;Casado;Outros;NDID;3
213;Superior;Sim;9083.92;52.29;RN;Divorciado;Advogado;V;0
214;Fundamental;Não;4376.34;63.55;PA;Solteiro;Advogado;PBOHS;3
215;Pós-Graduação;Não;8932.84;36.12;SE;Viúvo;Estudante;KGQB;2
216;Superior;Não;5195.92;35.7;SE;Solteiro;Engenheiro;MUZGQ;3
217;Médio;Não;8078.5;30.13;AL;Casado;Outros;WZRCS;1
218;Pós-Graduação;Não;1463.66;40.37;SP;Divorciado;Estudante;TTBM;2
219;Superior;Sim;5879.79;47.79;SC;Viúvo;Estudante;WIN;0
220;Pós-Graduação;Sim;6938.33;65.02;AL;Divorciado;Empresário;THAOO;3
221;Superior;Sim;9734.3;39.4;ES;Casado;Estudante;GOOYZ;2
222;Médio;Sim;4809.17;29.88;BA;Divorciado;Advogado;W;3
223;Pós-Graduação;Sim;9931.83;22.97;MT;Viúvo;Advogado;NXI;3
224;Superior;Sim;4595.58;27.16;SE;Casado;Advogado;EPI;2
225;Superior;Sim;8325.4;41.77;RR;Solteiro;Professor;OJ;0
226;Fundamental;Sim;2290.13;32.54;MA;Casado;Professor;ZXNML;1
227;Médio;Não;3672.45;58.38;RO;Solteiro;Engenheiro;SVI;2
228;Fundamental;Não;1739.12;68.28;SE;Viúvo;Artista;WZQA;3
229;Fundamental;Não;4926.38;23.2;PB;Divorciado;Empresário;VB;1
230;Pós-Graduação;Não;9229.32;64.87;AM;Divorciado;Artista;T;2
231;Pós-Graduação;Sim;3924.39;54.42;RJ;Solteiro;Médico;AWP;3
232;Médio;Sim;3346.82;70.83;MG;Viúvo;Professor;ZW;0
233;Pós-Graduação;Sim;1492.25;27.36;GO;Viúvo;Advogado;XQD;2
234;Fundamental;Não;3065.67;53.13;TO;Casado;Professor;B;0
235;Pós-Graduação;Sim;1005.5;50.81;PR;Solteiro;Engenheiro;OEI;2
236;Médio;Não;9590.05;48.84;TO;Solteiro;Professor;JFSCA;1
237;Superior;Não;9383.47;48.82;RN;Solteiro;Professor;CSMM;2
238;Superior;Não;2087.98;50.44;AC;Casado;Engenheiro;OCGN;3
239;Médio;Não;4403.14;68.97;RN;Viúvo;Professor;OAZCX;0
240;Fundamental;Não;9245.17;53.18;RR;Solteiro;Advogado;XQ;2
241;Pós-Graduação;Sim;9900.83;70.77;PE;Divorciado;Outros;KWR;1
242;Superior;Não;2745.74;31.4;PB;Solteiro;Estudante;F;2
243;Fundamental;Não;3525.0;74.52;BA;Solteiro;Artista;BPG;3
244;Superior;Não;8622.77;41.71;SC;Casado;Artista;YOD;2
245;Pós-Graduação;Não;9421.73;64.1;AC;Viúvo;Outros;IE;3
246;Médio;Sim;8931.51;57.42;PB;Divorciado;Advogado;NOC;1
247;Fundamental;Não;8381.86;63.52;SC;Divorciado;Estudante;SRDTK;1
248;Superior;Sim;1621.65;52.01;TO;Casado;Advogado;ASEF;3
249;Superior;Não;1851.1;55.18;MT;Casado;Outros;R;2
250;Médio;Não;5037.33;74.17;SE;Solteiro;Outros;KW;1
251;Pós-Graduação;Não;2706.34;25.0;SE;Casado;Outros;R;3
252;Superior;Não;3809.06;76.54;CE;Casado;Advogado;F;1
253;Pós-Graduação;Sim;9929.07;24.71;CE;Casado;Artista;MHXE;2
254;Fundamental;Não;7644.44;70.06;MA;Divorciado;Empresário;TUKM;0
255;Fundamental;Sim;7955.71;37.13;AC;Casado;Estudante;XJ;3
256;Pós-Graduação;Sim;7304.29;61.87;MG;Divorciado;Artista;M;2
257;Médio;Sim;5748.24;65.82;DF;Casado;Artista;WEX;2
258;Médio;Não;1787.42;55.33;PR;Casado;Professor;QM;3
259;Fundamental;Não;7865.36;77.69;RO;Divorciado;Estudante;B;2
260;Superior;Sim;4864.7;52.14;AM;Viúvo;Engenheiro;CBMD;3
261;Médio;Sim;8995.83;54.35;RN;Viúvo;Artista;JCDCQ;1
262;Médio;Sim;8086.09;71.41;SP;Casado;Artista;MHKQR;0
263;Superior;Sim;9921.38;37.37;PE;Casado;Professor;IZ;1
264;Pós-Graduação;Não;6088.17;43.95;PB;Viúvo;Advogado;XRS;0
265;Pós-Graduação;Sim;5456.36;70.26;MT;Divorciado;Engenheiro;S;1
266;Médio;Não;1119.61;27.67;RS;Casado;Artista;QTAJ;1
267;Superior;Sim;3639.96;71.63;ES;Solteiro;Advogado;K;0
268;Fundamental;Sim;1669.62;69.66;AP;Solteiro;Professor;WRPUE;3
269;Fundamental;Não;5917.81;36.53;RN;Viúvo;Médico;U;3
270;Pós-Graduação;Não;2041.38;25.3;RO;Solteiro;Professor;LFCQ;2
271;Superior;Sim;8253.38;60.56;MG;Viúvo;Advogado;JZR;2
272;Médio;Sim;4657.21;41.48;PA;Divorciado;Advogado;KVQ;2
273;Fundamental;Sim;6122.35;68.62;MS;Casado;Empresário;JT;1
274;Pós-Graduação;Sim;3566.95;18.25;RR;Solteiro;Médico;GRY;2
275;Pós-Graduação;Sim;9391.63;31.4;PA;Casado;Outros;QPHED;0
276;Pós-Graduação;Sim;6098.74;20.68;RO;Divorciado;Estudante;IEUFL;3
277;Fundamental;Sim;4431.71;74.59;ES;Casado;Artista;OGL;0
278;Fundamental;Sim;8714.68;75.63;SP;Divorciado;Médico;UMJZH;3
279;Pós-Graduação;Não;6045.07;66.26;SP;Divorciado;Advogado;M;1
280;Pós-Graduação;Não;7163.59;58.8;TO;Viúvo;Empresário;H;1
281;Superior;Não;4614.74;43.33;SP;Casado;Engenheiro;X;0
282;Médio;Sim;3291.5;21.9;GO;Divorciado;Empresário;M;2
283;Pós-Graduação;Sim;2703.25;74.05;SP;Viúvo;Engenheiro;F;1
284;Médio;Sim;4771.45;59.48;BA;Casado;Engenheiro;TSOZM;2
285;Médio;Não;2446.41;63.85;RR;Solteiro;Estudante;RGJSV;0
286;Médio;Sim;2917.27;76.64;AL;Divorciado;Professor;DRKU;3
287;Médio;Não;4378.32;62.64;DF;Casado;Outros;NZ;1
288;Fundamental;Não;9394.49;65.45;RJ;Divorciado;Professor;BABH;1
289;Médio;Não;2716.71;22.76;ES;Divorciado;Advogado;L;0
290;Médio;Sim;8119.96;52.84;MA;Viúvo;Professor;ZYS;3
291;Fundamental;Não;4400.05;55.04;AL;Casado;Artista;SDT;2
292;Pós-Graduação;Sim;8377.12;28.15;RJ;Solteiro;Outros;SOE;0
293;Fundamental;Não;9436.54;25.1;AP;Casado;Artista;MZAL;2
294;Fundamental;Sim;7527.95;76.87;PE;Divorciado;Outros;Q;1
295;Pós-Graduação;Não;7998.14;55.6;MA;Viúvo;Professor;GS;1
296;Superior;Não;5129.64;49.89;MG;Divorciado;Advogado;J;2
297;Fundamental;Sim;6847.82;31.09;AM;Viúvo;Médico;N;2
298;Fundamental;Sim;3543.49;58.18;TO;Divorciado;Advogado;V;3
299;Médio;Não;2930.84;67.46;MA;Solteiro;Artista;S;0
300;Pós-Graduação;Não;3843.24;75.71;MS;Solteiro;Empresário;JCHIQ;0
301;Superior;Não;8392.07;23.32;RJ;Solteiro;Artista;Q;0
302;Médio;Não;5650.27;48.63;PB;Divorciado;Médico;VPSC;0
303;Superior;Não;7768.36;42.11;MG;Viúvo;Médico;GGYPK;2
304;Fundamental;Não;1607.38;59.67;GO;Solteiro;Engenheiro;URB;1
305;Superior;Não;9395.9;61.89;RS;Solteiro;Outros;LU;2
306;Superior;Sim;3341.36;61.54;PA;Solteiro;Empresário;YJU;1
307;Médio;Não;4324.84;54.1;CE;Viúvo;Engenheiro;V;0
308;Fundamental;Não;7014.28;69.42;AC;Casado;Estudante;SGNPN;0
309;Superior;Sim;4008.19;30.58;RS;Solteiro;Professor;V;2
310;Médio;Sim;6891.93;47.65;SC;Solteiro;Outros;OZP;0
311;Pós-Graduação;Não;3038.64;75.24;AP;Casado;Outros;CWTG;2
312;Médio;Sim;2467.71;62.47;TO;Solteiro;Médico;HGA;3
313;Pós-Graduação;Não;8463.01;73.55;MT;Viúvo;Médico;NYWVD;1
314;Médio;Não;6200.03;21.64;TO;Viúvo;Artista;U;0
315;Pós-Graduação;Não;9187.2;25.05;ES;Solteiro;Artista;JO;1
316;Pós-Graduação;Sim;9436.82;21.15;PR;Divorciado;Advogado;W;1
317;Médio;Sim;7627.33;42.93;MS;Solteiro;Advogado;ZWXOR;1
318;Pós-Graduação;Sim;6111.04;66.18;SE;Divorciado;Estudante;ZQ;0
319;Fundamental;Sim;6482.79;24.27;BA;Casado;Empresário;NCN;2
320;Pós-Graduação;Não;3138.9;39.39;ES;Casado;Outros;RH;3
321;Fundamental;Sim;1391.98;78.54;SE;Divorciado;Estudante;KT;3
322;Superior;Não;3867.26;55.07;DF;Solteiro;Outros;RCASN;2
323;Médio;Sim;6587.68;47.16;GO;Divorciado;Outros;S;3
324;Pós-Graduação;Sim;7568.42;65.77;CE;Divorciado;Outros;KFNF;2
325;Fundamental;Sim;1777.23;41.34;AL;Solteiro;Advogado;MYJV;3
326;Médio;Não;8773.57;67.94;RR;Divorciado;Advogado;WSOR;1
327;Fundamental;Não;4911.0;47.65;RJ;Viúvo;Empresário;J;0
328;Pós-Graduação;Não;9440.17;65.4;MS;Solteiro;Médico;DT;1
329;Superior;Sim;7023.27;19.65;AC;Viúvo;Estudante;LKIII;2
330;Fundamental;Não;9216.16;74.2;AC;Viúvo;Outros;RITHN;0
331;Pós-Graduação;Não;7766.04;59.5;CE;Viúvo;Médico;MHM;0
332;Superior;Sim;5566.13;68.19;MG;Viúvo;Artista;KYQ;3
333;Superior;Sim;8032.85;74.06;MG;Viúvo;Empresário;OORCY;1
334;Superior;Não;2804.06;49.5;SC;Viúvo;Engenheiro;HKUHQ;2
335;Médio;Sim;3973.66;62.11;RO;Divorciado;Artista;MGYD;0
336;Pós-Graduação;Sim;5299.0;46.74;MG;Solteiro;Outros;IBXU;0
337;Fundamental;Sim;6476.73;36.46;SC;Viúvo;Advogado;KG;3
338;Fundamental;Não;5876.12;79.19;AP;Solteiro;Professor;OFSZK;1
339;Fundamental;Não;6557.25;52.54;SE;Viúvo;Estudante;CHAWU;0
340;Superior;Sim;7313.76;25.58;PA;Solteiro;Professor;CZRTF;1
341;Fundamental;Sim;7360.56;77.73;RR;Viúvo;Estudante;KUG;1
342;Médio;Sim;9120.97;56.9;MS;Divorciado;Professor;K;2
343;Pós-Graduação;Não;6627.19;45.56;DF;Viúvo;Empresário;IDXB;3
344;Médio;Não;6083.62;67.49;MG;Solteiro;Advogado;BMZZ;2
345;Pós-Graduação;Não;7042.78;77.99;RS;Casado;Engenheiro;GDOK;3
346;Médio;Sim;4677.27;58.53;PE;Viúvo;Estudante;TYPY;2
347;Pós-Graduação;Sim;3148.26;27.32;PB;Casado;Estudante;LE;1
