ID Cliente,Cor do Cabelo,Cor dos Olhos,Cor da Pele,Altura (cm),Peso (kg),Tatuagens,Piercings,Tipo Sanguíneo,Tipo de Pele
244,Preto,Preto,Negra,155.01,47.48,5,0,O-,Oleosa
245,Preto,Verde,Negra,155.67,56.34,1,3,B+,Seca
246,Loiro,Castanho,Negra,198.73,105.04,0,0,O+,Normal
247,Preto,Preto,Negra,188.4,85.31,1,2,B+,Seca
248,Loiro,Castanho,Indígena,165.92,99.46,2,1,AB-,Oleosa
249,Preto,Azul,Branca,156.19,77.81,1,3,A-,Oleosa
250,Ruivo,Azul,Negra,178.82,46.05,3,2,O-,Oleosa
251,Loiro,Preto,Branca,179.11,71.19,2,0,AB+,Normal
252,Preto,Castanho,Branca,153.94,51.4,2,3,B-,Seca
253,Ruivo,Azul,Negra,152.45,49.6,3,1,A-,Mista
254,Preto,Preto,Indígena,165.57,104.34,3,3,O+,Mista
255,Castanho,Azul,Amarela,188.03,60.31,3,3,A+,Seca
256,Castanho,Verde,Indígena,187.74,109.61,1,1,B-,Normal
257,Ruivo,Castanho,Parda,195.65,96.8,4,3,B+,Normal
258,Castanho,Preto,Branca,153.98,62.35,4,2,AB-,Normal
259,Castanho,Azul,Indígena,185.64,72.6,0,0,A+,Normal
260,Loiro,Azul,Negra,196.76,48.95,0,1,B-,Seca
261,Preto,Verde,Branca,193.52,79.68,5,2,AB+,Mista
262,Loiro,Preto,Parda,177.3,85.56,2,2,B-,Normal
263,Preto,Azul,Parda,195.32,83.77,2,2,AB+,Normal
264,Castanho,Castanho,Branca,182.89,119.42,4,0,AB+,Oleosa
265,Loiro,Azul,Parda,155.02,45.47,0,0,B+,Oleosa
266,Preto,Castanho,Indígena,170.18,106.74,5,0,O-,Seca
267,Preto,Azul,Branca,196.54,76.38,2,2,AB-,Oleosa
268,Loiro,Preto,Indígena,165.59,64.51,5,0,B+,Normal
269,Ruivo,Preto,Negra,193.9,72.56,2,0,B-,Mista
270,Preto,Preto,Parda,154.65,118.66,1,0,O+,Oleosa
271,Castanho,Castanho,Branca,166.66,51.58,0,2,A-,Oleosa
272,Preto,Preto,Branca,187.05,58.05,4,2,O-,Mista
273,Castanho,Castanho,Indígena,156.84,64.12,5,1,AB+,Normal
274,Loiro,Castanho,Amarela,154.72,108.55,1,1,O+,Oleosa
275,Preto,Castanho,Branca,197.23,114.45,5,3,AB+,Normal
276,Castanho,Verde,Indígena,150.2,50.54,2,1,AB-,Mista
277,Castanho,Azul,Branca,194.57,68.84,1,1,AB+,Seca
278,Loiro,Castanho,Negra,152.13,47.43,3,0,AB-,Oleosa
279,Preto,Castanho,Negra,190.48,71.78,4,0,AB-,Mista
280,Preto,Azul,Parda,170.3,51.53,2,1,O-,Mista
281,Loiro,Preto,Indígena,155.34,54.49,1,3,A-,Oleosa
282,Preto,Verde,Parda,157.94,112.91,0,0,B+,Oleosa
283,Loiro,Azul,Amarela,196.98,61.59,0,3,O-,Normal
284,Preto,Castanho,Branca,194.75,46.58,5,1,B-,Mista
285,Ruivo,Azul,Amarela,162.38,116.35,5,1,A-,Normal
286,Preto,Castanho,Parda,166.7,113.11,1,1,O-,Seca
287,Castanho,Preto,Negra,159.26,93.15,5,2,AB+,Normal
288,Castanho,Azul,Branca,195.91,41.36,4,0,B+,Oleosa
289,Ruivo,Verde,Parda,185.03,61.73,3,1,O-,Oleosa
290,Preto,Azul,Indígena,155.19,99.35,3,1,A-,Normal
291,Castanho,Castanho,Parda,190.61,75.69,0,0,B-,Normal
292,Castanho,Castanho,Parda,173.52,107.41,5,1,B+,Normal
293,Preto,Verde,Amarela,186.44,110.66,5,2,B+,Mista
294,Loiro,Castanho,Parda,156.33,70.07,0,1,AB+,Normal
295,Preto,Castanho,Amarela,186.89,41.81,2,2,A+,Mista
296,Loiro,Castanho,Parda,191.11,93.95,0,1,B+,Normal
297,Ruivo,Azul,Indígena,184.12,73.65,3,3,B-,Seca
298,Ruivo,Azul,Branca,161.93,90.04,1,2,B-,Seca
299,Castanho,Verde,Negra,170.4,65.26,5,1,O+,Mista
300,Castanho,Verde,Parda,184.07,57.97,4,0,B+,Seca
301,Castanho,Preto,Branca,193.75,50.44,0,3,O-,Normal
302,Loiro,Castanho,Parda,178.83,72.72,5,1,O+,Seca
303,Castanho,Verde,Negra,186.49,92.12,3,0,A-,Normal
304,Preto,Castanho,Indígena,192.09,88.21,4,0,O-,Seca
305,Loiro,Verde,Branca,174.63,64.01,1,3,O+,Normal
306,Ruivo,Preto,Branca,161.9,84.58,3,3,AB+,Normal
307,Loiro,Verde,Indígena,171.49,117.64,2,1,A+,Normal
308,Castanho,Azul,Negra,180.66,94.17,0,0,AB+,Normal
309,Preto,Castanho,Parda,169.42,61.63,3,3,A+,Seca
310,Preto,Azul,Indígena,191.25,67.6,1,3,AB+,Mista
311,Castanho,Verde,Indígena,164.64,95.36,1,3,O+,Mista
312,Preto,Verde,Indígena,156.81,86.75,4,3,AB-,Oleosa
313,Loiro,Preto,Parda,198.69,68.06,0,2,AB-,Seca
314,Loiro,Preto,Negra,170.58,70.58,3,0,A-,Oleosa
315,Castanho,Preto,Amarela,178.92,50.51,1,1,A-,Mista
316,Preto,Verde,Indígena,163.47,48.5,5,1,B+,Oleosa
317,Ruivo,Preto,Branca,180.82,93.39,4,0,O+,Seca
318,Loiro,Verde,Negra,194.48,65.57,0,2,B-,Seca
319,Loiro,Verde,Amarela,185.35,114.41,5,2,A-,Normal
320,Loiro,Castanho,Branca,162.75,86.52,0,2,A-,Mista
321,Loiro,Azul,Branca,180.26,107.33,5,2,A+,Mista
322,Ruivo,Castanho,Negra,150.07,53.66,4,0,AB-,Oleosa
323,Castanho,Azul,Indígena,155.73,74.39,3,0,A+,Seca
324,Loiro,Azul,Indígena,179.54,110.47,1,3,B+,Oleosa
325,Preto,Verde,Indígena,187.34,119.47,4,0,B+,Seca
326,Ruivo,Preto,Indígena,184.56,96.25,1,3,B+,Normal
327,Loiro,Preto,Amarela,178.83,98.6,1,3,A+,Oleosa
328,Preto,Preto,Indígena,190.72,104.19,0,2,O-,Normal
329,Loiro,Castanho,Branca,179.01,110.79,4,3,AB+,Oleosa
330,Castanho,Preto,Indígena,198.36,60.42,4,0,AB-,Oleosa
331,Ruivo,Verde,Branca,162.44,84.48,1,0,AB-,Mista
332,Castanho,Preto,Indígena,185.55,103.29,3,2,B+,Mista
333,Ruivo,Preto,Amarela,161.54,112.66,4,2,B+,Normal
334,Loiro,Preto,Indígena,162.5,81.1,0,2,O-,Normal
335,Loiro,Castanho,Indígena,152.33,73.7,2,0,O+,Mista
336,Ruivo,Verde,Amarela,153.61,57.11,3,0,O-,Mista
337,Preto,Preto,Parda,169.74,70.35,1,2,O-,Seca
338,Preto,Azul,Parda,198.26,44.7,5,0,AB+,Mista
339,Loiro,Castanho,Negra,163.83,40.77,3,3,B+,Normal
340,Loiro,Preto,Indígena,155.63,82.04,3,3,B-,Oleosa
341,Castanho,Preto,Parda,150.14,64.96,3,2,B-,Seca
342,Loiro,Castanho,Negra,160.51,60.71,0,1,AB-,Oleosa
343,Ruivo,Azul,Parda,155.54,80.89,0,3,AB+,Oleosa
344,Preto,Azul,Negra,184.81,58.46,2,1,B-,Seca
345,Preto,Castanho,Parda,170.67,105.67,1,0,B-,Mista
346,Castanho,Preto,Negra,167.07,84.6,4,1,O-,Mista
347,Preto,Castanho,Amarela,172.35,47.09,4,2,B-,Mista
348,Preto,Castanho,Parda,157.35,85.16,5,0,B+,Seca
349,Ruivo,Castanho,Branca,182.4,85.75,3,0,O-,Normal
350,Preto,Castanho,Negra,156.16,79.26,3,2,B-,Seca
351,Castanho,Azul,Amarela,168.44,89.58,0,0,O+,Normal
352,Castanho,Castanho,Amarela,198.86,85.38,3,2,B+,Seca
353,Preto,Preto,Parda,168.94,46.86,5,0,A-,Mista
354,Loiro,Preto,Branca,175.94,64.06,2,3,AB-,Normal
355,Preto,Verde,Parda,163.75,44.03,2,3,A-,Mista
356,Castanho,Verde,Indígena,183.16,85.7,4,0,A+,Seca
357,Castanho,Castanho,Indígena,192.89,98.09,5,1,A+,Oleosa
358,Ruivo,Verde,Branca,157.3,82.33,4,0,B+,Oleosa
359,Preto,Castanho,Parda,169.46,105.91,5,2,O+,Oleosa
360,Preto,Azul,Amarela,159.4,111.5,0,1,A+,Mista
361,Ruivo,Azul,Indígena,183.29,117.96,2,2,O-,Mista
362,Castanho,Azul,Negra,197.34,71.44,1,2,O-,Seca
363,Ruivo,Azul,Amarela,162.14,116.96,0,1,B+,Oleosa
364,Loiro,Preto,Amarela,174.45,90.03,2,1,A-,Mista
365,Preto,Azul,Negra,163.69,106.69,2,1,AB+,Normal
366,Castanho,Azul,Indígena,152.45,102.83,2,1,B-,Seca
367,Ruivo,Preto,Negra,150.15,118.37,0,0,AB+,Mista
368,Castanho,Castanho,Indígena,173.18,62.29,0,2,O+,Normal
369,Loiro,Verde,Negra,153.07,61.52,1,1,O+,Mista
370,Preto,Castanho,Amarela,194.45,74.96,0,3,AB-,Oleosa
371,Ruivo,Castanho,Indígena,152.98,75.92,1,3,B-,Normal
372,Castanho,Verde,Negra,172.94,116.05,5,2,O-,Mista
373,Preto,Azul,Indígena,164.45,80.33,3,1,A-,Normal
374,Preto,Azul,Parda,170.67,49.38,5,2,AB-,Seca
375,Castanho,Azul,Parda,194.07,85.93,4,2,AB-,Normal
376,Preto,Azul,Parda,157.03,82.22,1,0,O-,Normal
377,Preto,Verde,Parda,163.97,65.48,4,2,B-,Normal
378,Ruivo,Azul,Branca,171.31,74.54,3,3,A-,Seca
379,Preto,Azul,Branca,150.69,51.84,4,3,A+,Oleosa
380,Ruivo,Azul,Amarela,189.28,108.45,4,1,AB-,Seca
381,Preto,Verde,Amarela,176.48,53.45,0,2,B+,Normal
382,Loiro,Preto,Indígena,179.32,119.83,1,1,A+,Oleosa
383,Loiro,Verde,Negra,167.39,55.94,5,2,B-,Seca
384,Ruivo,Azul,Indígena,182.21,98.15,2,0,A-,Seca
385,Ruivo,Verde,Amarela,172.47,94.91,5,0,O-,Seca
386,Loiro,Castanho,Negra,184.42,99.4,2,0,B-,Seca
387,Preto,Castanho,Negra,163.78,109.3,0,0,A+,Mista
388,Ruivo,Preto,Amarela,173.84,68.74,1,2,AB-,Mista
389,Castanho,Azul,Branca,169.53,66.31,4,1,A+,Oleosa
390,Preto,Preto,Negra,158.02,110.29,2,2,O-,Normal
